id,alert_id,session_ts,rule_id,rule_level,severity_tier,verdict,confidence,risk_score,is_malicious,net_ingest_lag_s,ti_processing_s,ai_pipeline_s,soar_internal_s,e2e_total_s,anomaly_flag,ai_provider,ai_model,tokens_used,cost_usd,response_ms,engines_total,engines_ok,engines_skipped,engines_error,ti_verdict,ti_score,ioc_count,is_first,attempt_count,suppressed,raw_payload_bytes,summary_bytes,compression_ratio
BM-1776496344368,crit-31200-ubuntu-prod-server-1776496332674,2026-04-18T07:12:24.368Z,31200,12,critical,TRUE_POSITIVE,HIGH,70,TRUE,13.674,5.513,5.197,11.694,24.368,NORMAL,Groq,llama-3.3-70b-versatile,4203,0.0025218,1937,6,2,2,1,suspicious,15,3,TRUE,1,FALSE,19573,5522,3.54
BM-1776502601642,crit-31201-ubuntu-prod-server-1776502582336,2026-04-18T08:56:41.642Z,31201,13,critical,TRUE_POSITIVE,HIGH,70,TRUE,5.336,13.238,4.905,19.306,24.642,NORMAL,Groq,llama-3.3-70b-versatile,4302,0.0025812,1787,6,2,2,1,suspicious,15,6,TRUE,1,FALSE,20574,5868,3.51
BM-1776507339168,crit-31150-ubuntu-prod-server-1776507321571,2026-04-18T10:15:39.168Z,31150,12,critical,TRUE_POSITIVE,MEDIUM,55,TRUE,7.994,11.703,4.601,17.597,25.168,NORMAL,Groq,llama-3.3-70b-versatile,4129,0.0024774,1550,6,2,3,1,low_risk,8,2,TRUE,1,FALSE,18589,5225,3.56
BM-1776507469975,crit-86620-ubuntu-prod-server-1776507453723,2026-04-18T10:17:49.975Z,86620,14,critical,TRUE_POSITIVE,HIGH,70,TRUE,8.723,4.828,10.292,16.252,24.975,NORMAL,Gemini,gemini-2.5-flash-lite,3952,0.0023712,1520,6,3,2,0,clean,0,3,TRUE,1,FALSE,20680,5854,3.53
BM-1776507623510,crit-86621-ubuntu-prod-server-1776507607309,2026-04-18T10:20:23.510Z,86621,15,critical,TRUE_POSITIVE,HIGH,85,TRUE,8.309,4.316,10.611,16.201,24.51,NORMAL,Gemini,gemini-2.5-flash-lite,3873,0.0023238,1927,6,3,2,0,clean,0,2,TRUE,1,FALSE,21156,6019,3.51
BM-1776507733981,crit-92115-win-2-1776507712044,2026-04-18T10:22:13.981Z,92115,15,critical,TRUE_POSITIVE,HIGH,75,TRUE,7.044,11.269,9.566,21.937,28.981,NORMAL,Gemini,gemini-2.5-flash-lite,4105,0.002463,2035,6,2,1,3,clean,0,3,TRUE,1,FALSE,21238,5699,3.73
BM-1776507907413,crit-86622-win-2-1776507891424,2026-04-18T10:25:07.413Z,86622,12,critical,TRUE_POSITIVE,HIGH,65,TRUE,7.423,5.119,9.931,15.99,23.413,NORMAL,Gemini,gemini-2.5-flash-lite,3385,0.002031,1050,6,0,6,0,clean,0,0,TRUE,1,FALSE,18344,5298,3.46
BM-1776508136430,crit-86630-ubuntu-prod-server-1776508120150,2026-04-18T10:28:56.430Z,86630,14,critical,TRUE_POSITIVE,HIGH,70,TRUE,7.149,5.578,9.372,16.281,23.43,NORMAL,Gemini,gemini-2.5-flash-lite,4160,0.002496,1950,6,3,2,0,suspicious,10,3,TRUE,1,FALSE,22094,6094,3.63
BM-1776508763894,crit-18152-dc-01-1776508748162,2026-04-18T10:39:23.894Z,18152,14,critical,TRUE_POSITIVE,HIGH,85,TRUE,9.162,3.973,10.633,15.732,24.894,NORMAL,Gemini,gemini-2.5-flash-lite,3332,0.0019992,1466,6,0,6,0,clean,0,0,TRUE,1,FALSE,18204,5118,3.56
BM-1776508985778,crit-86631-ubuntu-prod-server-1776508966348,2026-04-18T10:43:05.778Z,86631,15,critical,TRUE_POSITIVE,HIGH,85,TRUE,17.347,7.008,11.079,19.431,36.778,NORMAL,Gemini,gemini-2.5-flash-lite,3818,0.0022908,1087,6,1,4,0,clean,0,1,TRUE,1,FALSE,21959,5949,3.69
BM-1776509192449,crit-40101-ubuntu-prod-server-1776509176462,2026-04-18T10:46:32.449Z,40101,12,critical,TRUE_POSITIVE,HIGH,70,TRUE,10.146,4.918,10.007,15.987,26.849,NORMAL,Gemini,gemini-2.5-flash-lite,3833,0.0022998,1495,6,2,4,0,low_risk,8,1,TRUE,1,FALSE,21170,6092,3.48
BM-1776569931151,crit-40102-ubuntu-prod-server-1776569915419,2026-04-19T03:38:51.151Z,40102,12,critical,FALSE_POSITIVE,HIGH,5,FALSE,12.419,9.839,4.854,15.732,28.151,NORMAL,Groq,llama-3.3-70b-versatile,4266,0.0025596,1733,6,2,4,0,low_risk,8,1,TRUE,1,FALSE,19820,5613,3.53
BM-1776570286920,crit-86640-ubuntu-prod-server-1776570268812,2026-04-19T03:44:46.920Z,86640,13,critical,TRUE_POSITIVE,HIGH,70,TRUE,9.812,12.265,4.592,18.108,27.92,NORMAL,Groq,llama-3.3-70b-versatile,4218,0.0025308,1658,6,2,4,0,clean,0,1,TRUE,1,FALSE,19332,5455,3.54
BM-1776570456893,crit-86641-ubuntu-prod-server-1776570439612,2026-04-19T03:47:36.893Z,86641,14,critical,TRUE_POSITIVE,HIGH,70,TRUE,14.612,11.377,4.633,17.281,31.893,NORMAL,Groq,llama-3.3-70b-versatile,4183,0.0025098,1884,6,2,4,0,clean,0,1,TRUE,1,FALSE,19117,5423,3.53
BM-1776570624096,crit-86642-ubuntu-prod-server-1776570611921,2026-04-19T03:50:24.096Z,86642,13,critical,TRUE_POSITIVE,HIGH,75,TRUE,12.921,6.061,4.83,12.175,25.096,NORMAL,Groq,llama-3.3-70b-versatile,4174,0.0025044,1919,6,2,4,0,suspicious,15,1,TRUE,1,FALSE,18851,5294,3.56
BM-1776570782788,crit-60106-win-2-1776570772691,2026-04-19T03:53:02.788Z,60106,12,critical,TRUE_POSITIVE,HIGH,70,TRUE,4.691,4.292,4.559,10.097,14.788,NORMAL,Groq,llama-3.3-70b-versatile,4180,0.002508,1726,6,2,4,0,clean,0,1,TRUE,1,FALSE,19504,5538,3.52
BM-1776586309461,crit-92200-win-2-1776586298614,2026-04-19T08:11:49.461Z,92200,15,critical,TRUE_POSITIVE,HIGH,90,TRUE,5.614,5.021,4.551,10.847,16.461,NORMAL,Groq,llama-3.3-70b-versatile,3986,0.0023916,1738,6,0,6,0,clean,0,0,TRUE,1,FALSE,18369,5320,3.45
BM-1776586479161,crit-92106-win-2-1776586468519,2026-04-19T08:14:39.161Z,92106,15,critical,TRUE_POSITIVE,HIGH,90,TRUE,7.519,4.697,4.891,10.642,18.161,NORMAL,Groq,llama-3.3-70b-versatile,4029,0.0024174,1973,6,0,6,0,clean,0,0,TRUE,1,FALSE,19428,5620,3.46
BM-1776586652973,crit-91570-win-2-1776586639596,2026-04-19T08:17:32.973Z,91570,15,critical,TRUE_POSITIVE,HIGH,70,TRUE,7.596,7.316,4.783,13.377,20.973,NORMAL,Groq,llama-3.3-70b-versatile,4017,0.0024102,1907,6,0,6,0,clean,0,0,TRUE,1,FALSE,19412,5673,3.42
BM-1776586760592,crit-91507-win-2-1776586750036,2026-04-19T08:19:20.592Z,91507,12,critical,TRUE_POSITIVE,HIGH,60,TRUE,7.035,5.09,4.447,10.557,17.592,NORMAL,Groq,llama-3.3-70b-versatile,4013,0.0024078,1591,6,0,6,0,clean,0,0,TRUE,1,FALSE,18510,5322,3.48
BM-1776586889153,crit-18101-win-2-1776586879263,2026-04-19T08:21:29.153Z,18101,12,critical,TRUE_POSITIVE,HIGH,70,TRUE,10.263,4.456,4.371,9.89,20.153,NORMAL,Groq,llama-3.3-70b-versatile,4420,0.002652,1533,6,2,4,0,clean,0,1,TRUE,1,FALSE,21050,5513,3.82
BM-1776587006715,crit-91802-win-2-1776586995577,2026-04-19T08:23:26.715Z,91802,15,critical,TRUE_POSITIVE,HIGH,65,TRUE,11.577,5.329,4.615,11.138,22.715,NORMAL,Groq,llama-3.3-70b-versatile,4347,0.0026082,1843,6,3,2,0,low_risk,8,3,TRUE,1,FALSE,20683,5787,3.57
BM-1776587124525,crit-63103-win-2-1776587113464,2026-04-19T08:25:24.525Z,63103,15,critical,TRUE_POSITIVE,HIGH,70,TRUE,8.464,4.893,4.918,11.061,19.525,NORMAL,Groq,llama-3.3-70b-versatile,3949,0.0023694,2106,6,0,6,0,clean,0,0,TRUE,1,FALSE,18208,5242,3.47
BM-1776587321989,crit-18104-win-2-1776587303212,2026-04-19T08:28:41.989Z,18104,12,critical,TRUE_POSITIVE,MEDIUM,60,TRUE,20.212,12.523,5.219,18.777,38.989,NORMAL,Groq,llama-3.3-70b-versatile,4008,0.0024048,2093,6,0,6,0,clean,0,0,TRUE,1,FALSE,19429,5587,3.48
BM-1776587541125,crit-110080-Machine-1-New-1776587531229,2026-04-19T08:32:21.125Z,110080,15,critical,TRUE_POSITIVE,HIGH,70,TRUE,6.229,4.012,4.639,9.896,16.125,NORMAL,Groq,llama-3.3-70b-versatile,4089,0.0024534,1806,6,0,6,0,clean,0,0,TRUE,1,FALSE,19461,5713,3.41
BM-1776587693067,crit-110091-Machine-1-New-1776587682310,2026-04-19T08:34:53.067Z,110091,15,critical,TRUE_POSITIVE,HIGH,70,TRUE,8.31,5.307,4.412,10.757,19.067,NORMAL,Groq,llama-3.3-70b-versatile,4002,0.0024012,1535,6,0,6,0,clean,0,0,TRUE,1,FALSE,17884,5293,3.38
BM-1776587799401,crit-110070-Machine-1-New-1776587789182,2026-04-19T08:36:39.401Z,110070,15,critical,NEEDS_INVESTIGATION,MEDIUM,60,FALSE,18.182,4.505,4.719,10.219,28.401,NORMAL,Groq,llama-3.3-70b-versatile,4115,0.002469,1879,6,0,6,0,clean,0,0,TRUE,1,FALSE,18918,5561,3.4
BM-1776587894957,crit-110066-Machine-1-New-1776587884286,2026-04-19T08:38:14.957Z,110066,15,critical,TRUE_POSITIVE,HIGH,70,TRUE,9.286,5.155,4.513,10.671,19.957,NORMAL,Groq,llama-3.3-70b-versatile,4028,0.0024168,1658,6,0,6,0,clean,0,0,TRUE,1,FALSE,18223,5336,3.42
BM-1776588012579,crit-110064-Machine-1-New-1776588000763,2026-04-19T08:40:12.579Z,110064,15,critical,NEEDS_INVESTIGATION,MEDIUM,60,FALSE,8.763,6.054,4.626,11.816,20.579,NORMAL,Groq,llama-3.3-70b-versatile,4050,0.00243,1728,6,0,6,0,clean,0,0,TRUE,1,FALSE,18637,5501,3.39
BM-1776588108748,crit-110067-Machine-1-New-1776588093467,2026-04-19T08:41:48.748Z,110067,15,critical,TRUE_POSITIVE,HIGH,75,TRUE,7.467,4.875,9.108,15.281,22.748,NORMAL,Gemini,gemini-2.5-flash-lite,3530,0.002118,1383,6,0,6,0,clean,0,0,TRUE,1,FALSE,19527,5618,3.48
BM-1776588209963,crit-110074-Machine-1-New-1776588195861,2026-04-19T08:43:29.963Z,110074,15,critical,PENDING,,0,FALSE,6.861,5.263,7.795,14.102,20.963,NORMAL,Gemini,gemini-lite,0,0,1358,6,0,6,0,clean,0,0,TRUE,1,FALSE,11608,3767,3.08
BM-1776588335761,crit-110094-Machine-1-New-1776588313989,2026-04-19T08:45:35.761Z,110094,15,critical,TRUE_POSITIVE,HIGH,70,TRUE,10.988,12.336,8.286,21.773,32.761,NORMAL,Gemini,gemini-2.5-flash-lite,3568,0.0021408,2622,6,0,6,0,clean,0,0,TRUE,1,FALSE,19398,5567,3.48
BM-1776588432969,crit-110063-Machine-1-New-1776588419293,2026-04-19T08:47:12.969Z,110063,15,critical,BENIGN,LOW,15,FALSE,9.293,4.172,8.501,13.676,22.969,NORMAL,Gemini,gemini-2.5-flash-lite,3474,0.0020844,1273,6,0,6,0,clean,0,0,TRUE,1,FALSE,19218,5495,3.5
BM-1776588567491,crit-110010-Machine-1-New-1776588551733,2026-04-19T08:49:27.491Z,110010,14,critical,TRUE_POSITIVE,HIGH,70,TRUE,10.733,4.76,9.71,15.758,26.491,NORMAL,Gemini,gemini-2.5-flash-lite,3563,0.0021378,1470,6,0,6,0,clean,0,0,TRUE,1,FALSE,19527,5549,3.52
BM-1776588844876,crit-506-machine-1-1776588830501,2026-04-19T08:54:04.876Z,506,10,high,TRUE_POSITIVE,HIGH,70,TRUE,11.501,5.085,8.281,14.375,25.876,NORMAL,Gemini,gemini-2.5-flash-lite,2971,0.0017826,1366,6,0,6,0,clean,0,0,TRUE,1,FALSE,17461,5072,3.44
BM-1776589015373,crit-5715-machine-1-1776589000979,2026-04-19T08:56:55.373Z,5715,8,medium,BENIGN,LOW,15,FALSE,5.979,4.266,9.113,14.394,20.373,NORMAL,Gemini,gemini-2.5-flash-lite,3204,0.0019224,1379,6,0,6,0,clean,0,0,TRUE,1,FALSE,17453,4984,3.5
BM-1776589175775,crit-5403-machine-1-1776589160836,2026-04-19T08:59:35.775Z,5403,8,medium,BENIGN,LOW,15,FALSE,7.836,4.312,9.554,14.939,22.775,NORMAL,Gemini,gemini-2.5-flash-lite,3224,0.0019344,1366,6,0,6,0,clean,0,0,TRUE,1,FALSE,18078,5194,3.48
BM-1776589284683,crit-5501-machine-1-1776589270955,2026-04-19T09:01:24.683Z,5501,8,medium,BENIGN,LOW,10,FALSE,8.955,4.08,8.657,13.728,22.683,NORMAL,Gemini,gemini-2.5-flash-lite,3094,0.0018564,1737,6,0,6,0,clean,0,0,TRUE,1,FALSE,18252,5407,3.38
BM-1776589408853,crit-5402-machine-1-1776589394697,2026-04-19T09:03:28.853Z,5402,8,medium,BENIGN,LOW,15,FALSE,9.697,4.039,9.138,14.156,23.853,NORMAL,Gemini,gemini-2.5-flash-lite,3274,0.0019644,1377,6,0,6,0,clean,0,0,TRUE,1,FALSE,19110,5520,3.46
BM-1776745927724,crit-86901-ubuntu-prod-server-1776745824102,2026-04-21T04:32:07.724Z,86901,14,critical,TRUE_POSITIVE,HIGH,70,TRUE,7.102,12.715,8.442,21.622,28.724,NORMAL,Groq,llama-3.3-70b-versatile,3990,0.002394,1592,6,0,4,2,clean,0,1,TRUE,1,FALSE,17980,5196,3.46
BM-1776746072858,crit-86902-ubuntu-prod-server-1776746061643,2026-04-21T04:34:32.858Z,86902,15,critical,NEEDS_INVESTIGATION,MEDIUM,60,FALSE,8.643,5.269,4.583,11.215,19.858,NORMAL,Groq,llama-3.3-70b-versatile,4173,0.0025038,1846,6,2,4,0,clean,0,1,TRUE,1,FALSE,19538,5483,3.56
BM-1776746154659,crit-86903-ubuntu-prod-server-1776746143405,2026-04-21T04:35:54.659Z,86903,15,critical,TRUE_POSITIVE,HIGH,70,TRUE,9.405,5.662,4.601,11.254,19.659,NORMAL,Groq,llama-3.3-70b-versatile,4157,0.0024942,1583,6,2,4,0,clean,0,1,TRUE,1,FALSE,18778,5290,3.55
BM-1776746288973,crit-86904-ubuntu-prod-server-1776746262576,2026-04-21T04:38:08.973Z,86904,14,critical,TRUE_POSITIVE,HIGH,90,TRUE,8.576,9.488,4.411,15.397,24.973,NORMAL,Groq,llama-3.3-70b-versatile,3961,0.0023766,1545,6,0,4,2,clean,0,1,TRUE,1,FALSE,17351,5024,3.45
BM-1776746345468,crit-86905-ubuntu-prod-server-1776746335143,2026-04-21T04:39:05.468Z,86905,13,critical,TRUE_POSITIVE,HIGH,70,TRUE,12.143,4.297,5.032,10.325,22.468,NORMAL,Groq,llama-3.3-70b-versatile,4177,0.0025062,1695,6,2,4,0,clean,0,1,TRUE,1,FALSE,18782,5282,3.56
BM-1776746494382,crit-31200-ubuntu-prod-server-1776746484151,2026-04-21T04:41:34.382Z,31200,13,critical,TRUE_POSITIVE,MEDIUM,60,TRUE,12.151,4.352,4.83,10.231,22.382,NORMAL,Groq,llama-3.3-70b-versatile,4245,0.002547,1860,6,2,2,1,clean,0,6,TRUE,1,FALSE,20379,5827,3.5
BM-1776746584640,crit-86906-ubuntu-prod-server-1776746574447,2026-04-21T04:43:04.640Z,86906,15,critical,NEEDS_INVESTIGATION,MEDIUM,60,FALSE,7.447,4.782,4.407,10.193,17.64,NORMAL,Groq,llama-3.3-70b-versatile,4167,0.0025002,1533,6,2,4,0,clean,0,2,TRUE,1,FALSE,19033,5332,3.57
BM-1776746683284,crit-40201-ubuntu-prod-server-1776746666360,2026-04-21T04:44:43.284Z,40201,14,critical,TRUE_POSITIVE,MEDIUM,60,TRUE,6.36,11.57,4.339,16.924,23.284,NORMAL,Groq,llama-3.3-70b-versatile,4131,0.0024786,1433,6,2,4,0,clean,0,1,TRUE,1,FALSE,18069,5072,3.56
BM-1776746779713,crit-86907-ubuntu-prod-server-1776746761802,2026-04-21T04:46:19.713Z,86907,14,critical,TRUE_POSITIVE,HIGH,70,TRUE,6.802,12.024,4.871,17.911,24.713,NORMAL,Groq,llama-3.3-70b-versatile,4108,0.0024648,1522,6,2,4,0,clean,0,2,TRUE,1,FALSE,19019,5400,3.52
BM-1776746923200,crit-86908-ubuntu-prod-server-1776746881382,2026-04-21T04:48:43.200Z,86908,15,critical,TRUE_POSITIVE,HIGH,90,TRUE,7.382,25.074,14.487,41.818,49.2,NORMAL,Groq,llama-3.3-70b-versatile,4196,0.0025176,1614,6,2,4,0,clean,0,1,TRUE,1,FALSE,19697,5531,3.56
BM-1776757349806,crit-13101-ubuntu-prod-server-1776757339849,2026-04-21T07:42:29.806Z,13101,14,critical,NEEDS_INVESTIGATION,MEDIUM,50,FALSE,10.849,4.391,4.637,9.957,20.806,NORMAL,Groq,llama-3.3-70b-versatile,4222,0.0025332,1754,6,2,4,0,clean,0,2,TRUE,1,FALSE,20078,5591,3.59
BM-1776757460038,crit-13102-ubuntu-prod-server-1776757450141,2026-04-21T07:44:20.038Z,13102,12,critical,NEEDS_INVESTIGATION,MEDIUM,50,FALSE,7.141,4.284,4.572,9.897,17.038,NORMAL,Groq,llama-3.3-70b-versatile,4170,0.002502,1646,6,2,4,0,clean,0,2,TRUE,1,FALSE,18966,5278,3.59
BM-1776757584705,crit-13103-ubuntu-prod-server-1776757574355,2026-04-21T07:46:24.705Z,13103,14,critical,NEEDS_INVESTIGATION,MEDIUM,60,FALSE,7.355,4.654,4.6,10.35,17.705,NORMAL,Groq,llama-3.3-70b-versatile,4204,0.0025224,1743,6,2,4,0,clean,0,2,TRUE,1,FALSE,19792,5507,3.59
BM-1776757639197,crit-13104-ubuntu-prod-server-1776757629364,2026-04-21T07:47:19.197Z,13104,14,critical,NEEDS_INVESTIGATION,MEDIUM,60,FALSE,9.364,4.012,4.91,9.833,19.197,NORMAL,Groq,llama-3.3-70b-versatile,4155,0.002493,2070,6,2,4,0,clean,0,2,TRUE,1,FALSE,19517,5412,3.61
BM-1776757708117,crit-13105-ubuntu-prod-server-1776757697039,2026-04-21T07:48:28.117Z,13105,13,critical,NEEDS_INVESTIGATION,MEDIUM,50,FALSE,6.039,4.857,5.225,11.078,17.117,NORMAL,Groq,llama-3.3-70b-versatile,4158,0.0024948,1504,6,2,4,0,clean,0,1,TRUE,1,FALSE,19439,5464,3.56
BM-1776757845735,crit-13106-ubuntu-prod-server-1776757834528,2026-04-21T07:50:45.735Z,13106,13,critical,NEEDS_INVESTIGATION,MEDIUM,60,FALSE,6.528,5.24,4.638,11.207,17.735,NORMAL,Groq,llama-3.3-70b-versatile,4163,0.0024978,1781,6,2,4,0,clean,0,2,TRUE,1,FALSE,19690,5490,3.59
BM-1776757923682,crit-13107-ubuntu-prod-server-1776757913492,2026-04-21T07:52:03.682Z,13107,14,critical,NEEDS_INVESTIGATION,MEDIUM,60,FALSE,8.492,4.527,4.69,10.19,18.682,NORMAL,Groq,llama-3.3-70b-versatile,4222,0.0025332,1997,6,2,4,0,clean,0,2,TRUE,1,FALSE,19995,5615,3.56
BM-1776758286593,crit-13108-ubuntu-prod-server-1776758280302,2026-04-21T07:58:06.593Z,13108,14,critical,NEEDS_INVESTIGATION,MEDIUM,60,FALSE,7.301,0.488,4.704,6.292,13.593,NORMAL,Groq,llama-3.3-70b-versatile,3972,0.0023832,1892,6,0,4,2,clean,0,2,TRUE,1,FALSE,17361,4949,3.51
BM-1776762903601,crit-92303-win-2-1776762890470,2026-04-21T09:15:03.601Z,92303,15,critical,TRUE_POSITIVE,HIGH,70,TRUE,6.47,6.378,5.676,13.131,19.601,NORMAL,Groq,llama-3.3-70b-versatile,4247,0.0025482,2380,6,0,4,2,clean,0,1,TRUE,1,FALSE,18837,5331,3.53
BM-1776764889241,crit-92304-win-2-1776764867170,2026-04-21T09:48:09.241Z,92304,15,critical,TRUE_POSITIVE,HIGH,95,TRUE,9.17,12.286,8.641,22.071,31.241,NORMAL,Gemini,gemini-2.5-flash-lite,3441,0.0020646,2027,6,0,4,2,clean,0,1,TRUE,1,FALSE,18340,5037,3.64
BM-1776765118750,crit-550-win-2-1776765104034,2026-04-21T09:51:58.750Z,550,12,critical,NEEDS_INVESTIGATION,LOW,40,FALSE,10.034,4.379,9.217,14.716,25.75,NORMAL,Gemini,gemini-2.5-flash-lite,3195,0.001917,1796,6,0,6,0,clean,0,0,TRUE,1,FALSE,18040,5200,3.47
BM-1776765267329,crit-92305-win-2-1776765256409,2026-04-21T09:54:27.329Z,92305,15,critical,TRUE_POSITIVE,HIGH,70,TRUE,6.409,5.227,4.745,10.92,17.329,NORMAL,Groq,llama-3.3-70b-versatile,4079,0.0024474,1849,6,0,6,0,clean,0,0,TRUE,1,FALSE,18897,5397,3.5
BM-1776765386560,crit-91801-win-2-1776765363637,2026-04-21T09:56:26.560Z,91801,14,critical,TRUE_POSITIVE,HIGH,85,TRUE,6.637,11.57,10.177,22.923,29.56,NORMAL,Gemini,gemini-2.5-flash-lite,3642,0.0021852,2147,6,0,6,0,clean,0,0,TRUE,1,FALSE,20569,5652,3.64
BM-1776765528518,crit-92200-win-2-1776765514462,2026-04-21T09:58:48.518Z,92200,13,critical,TRUE_POSITIVE,HIGH,75,TRUE,5.462,4.834,8.12,14.056,19.518,NORMAL,Gemini,gemini-2.5-flash-lite,3352,0.0020112,1954,6,0,6,0,clean,0,0,TRUE,1,FALSE,18380,5189,3.54
BM-1776765643366,crit-92306-win-2-1776765628380,2026-04-21T10:00:43.366Z,92306,14,critical,TRUE_POSITIVE,HIGH,85,TRUE,6.38,5.665,8.235,14.986,21.366,NORMAL,Gemini,gemini-2.5-flash-lite,3468,0.0020808,1900,6,0,6,0,clean,0,0,TRUE,1,FALSE,20001,5593,3.58
BM-1776765688925,crit-92307-win-2-1776765675482,2026-04-21T10:01:28.925Z,92307,15,critical,TRUE_POSITIVE,HIGH,75,TRUE,6.482,3.761,8.708,13.443,19.925,NORMAL,Gemini,gemini-2.5-flash-lite,3365,0.002019,1469,6,0,6,0,clean,0,0,TRUE,1,FALSE,18284,5025,3.64
